{'yaw': 163.5793, 'pitch': 3.018377, 'roll': 7.435325, 'Ax': -2869, 'Ay': -170, 'Az': 3494, 'timestamps': 1542885179.4077396}
{'yaw': 163.9447, 'pitch': 1.816935, 'roll': 7.549177, 'Ax': -2988, 'Ay': -133, 'Az': 2934, 'timestamps': 1542885179.4180307}
{'yaw': 164.3054, 'pitch': 0.688965, 'roll': 7.634828, 'Ax': -3110, 'Ay': 157, 'Az': 2213, 'timestamps': 1542885179.4257438}
{'yaw': 164.6483, 'pitch': -0.303745, 'roll': 7.776612, 'Ax': -2866, 'Ay': 666, 'Az': 1303, 'timestamps': 1542885179.4378495}
{'yaw': 164.9789, 'pitch': -1.081504, 'roll': 7.998736, 'Ax': -2388, 'Ay': 1059, 'Az': 350, 'timestamps': 1542885179.4455845}
{'yaw': 165.3656, 'pitch': -1.807504, 'roll': 8.273805, 'Ax': -2415, 'Ay': 921, 'Az': -373, 'timestamps': 1542885179.4549143}
{'yaw': 165.865, 'pitch': -2.69518, 'roll': 8.507152, 'Ax': -2846, 'Ay': 475, 'Az': -960, 'timestamps': 1542885179.4663808}
{'yaw': 166.402, 'pitch': -3.787115, 'roll': 8.597773, 'Ax': -3265, 'Ay': 31, 'Az': -1492, 'timestamps': 1542885179.4806254}
{'yaw': 166.8726, 'pitch': -4.89693, 'roll': 8.566347, 'Ax': -3184, 'Ay': 292, 'Az': -2369, 'timestamps': 1542885179.49379}
{'yaw': 167.206, 'pitch': -5.894388, 'roll': 8.515544, 'Ax': -2966, 'Ay': 793, 'Az': -3309, 'timestamps': 1542885179.4977932}
{'yaw': 167.4196, 'pitch': -6.784328, 'roll': 8.477049, 'Ax': -2784, 'Ay': 1249, 'Az': -4160, 'timestamps': 1542885179.5096986}
{'yaw': 167.5399, 'pitch': -7.553772, 'roll': 8.513783, 'Ax': -2509, 'Ay': 1774, 'Az': -4962, 'timestamps': 1542885179.5152311}
{'yaw': 167.6513, 'pitch': -8.172038, 'roll': 8.688099, 'Ax': -1998, 'Ay': 2260, 'Az': -5693, 'timestamps': 1542885179.5263293}
{'yaw': 167.7978, 'pitch': -8.703379, 'roll': 9.021158, 'Ax': -1594, 'Ay': 2387, 'Az': -6296, 'timestamps': 1542885179.5424254}
{'yaw': 168.0286, 'pitch': -9.27876, 'roll': 9.447044, 'Ax': -1411, 'Ay': 2146, 'Az': -6673, 'timestamps': 1542885179.5518715}
{'yaw': 168.3414, 'pitch': -9.883029, 'roll': 9.861905, 'Ax': -1097, 'Ay': 1780, 'Az': -6892, 'timestamps': 1542885179.5564466}
{'yaw': 168.6683, 'pitch': -10.45095, 'roll': 10.24856, 'Ax': -667, 'Ay': 1489, 'Az': -7035, 'timestamps': 1542885179.5672019}
{'yaw': 168.9617, 'pitch': -10.90206, 'roll': 10.60025, 'Ax': -118, 'Ay': 1329, 'Az': -7137, 'timestamps': 1542885179.5769026}
{'yaw': 169.1874, 'pitch': -11.16463, 'roll': 10.90354, 'Ax': 384, 'Ay': 1242, 'Az': -7223, 'timestamps': 1542885179.5939274}
{'yaw': 169.3619, 'pitch': -11.30914, 'roll': 11.16697, 'Ax': 645, 'Ay': 1166, 'Az': -7321, 'timestamps': 1542885179.6084929}
{'yaw': 169.4765, 'pitch': -11.33395, 'roll': 11.3906, 'Ax': 783, 'Ay': 1159, 'Az': -7419, 'timestamps': 1542885179.6130779}
{'yaw': 169.5224, 'pitch': -11.27638, 'roll': 11.61041, 'Ax': 830, 'Ay': 1201, 'Az': -7518, 'timestamps': 1542885179.61774}
{'yaw': 169.5303, 'pitch': -11.16595, 'roll': 11.83425, 'Ax': 723, 'Ay': 1121, 'Az': -7522, 'timestamps': 1542885179.62666}
{'yaw': 169.5185, 'pitch': -11.02138, 'roll': 12.03305, 'Ax': 692, 'Ay': 1023, 'Az': -7436, 'timestamps': 1542885179.6424084}
{'yaw': 169.4875, 'pitch': -10.82866, 'roll': 12.21284, 'Ax': 725, 'Ay': 1018, 'Az': -7390, 'timestamps': 1542885179.6494913}
{'yaw': 169.46, 'pitch': -10.59486, 'roll': 12.38583, 'Ax': 745, 'Ay': 1027, 'Az': -7296, 'timestamps': 1542885179.6610587}
