{'yaw': 0.274913, 'pitch': 10.42699, 'roll': -14.55195, 'Ax': 375, 'Ay': 1773, 'Az': 8653, 'timestamps': 1542884653.4788141}
{'yaw': 0.103703, 'pitch': 10.28858, 'roll': -13.74002, 'Ax': 297, 'Ay': 1674, 'Az': 8616, 'timestamps': 1542884653.4832888}
{'yaw': -0.017391, 'pitch': 10.27952, 'roll': -12.91604, 'Ax': 138, 'Ay': 1579, 'Az': 8573, 'timestamps': 1542884653.4980862}
{'yaw': -0.128857, 'pitch': 10.2927, 'roll': -12.09371, 'Ax': 3, 'Ay': 1421, 'Az': 8552, 'timestamps': 1542884653.5017343}
{'yaw': -0.221846, 'pitch': 10.30109, 'roll': -11.24813, 'Ax': 14, 'Ay': 1165, 'Az': 8582, 'timestamps': 1542884653.5170946}
{'yaw': -0.308195, 'pitch': 10.24739, 'roll': -10.3778, 'Ax': 127, 'Ay': 878, 'Az': 8629, 'timestamps': 1542884653.5224597}
{'yaw': -0.422115, 'pitch': 9.991378, 'roll': -9.446229, 'Ax': 222, 'Ay': 562, 'Az': 8667, 'timestamps': 1542884653.5584965}
{'yaw': -0.562373, 'pitch': 9.497101, 'roll': -8.43169, 'Ax': 412, 'Ay': 201, 'Az': 8708, 'timestamps': 1542884653.5661778}
{'yaw': -0.773106, 'pitch': 8.643066, 'roll': -7.308322, 'Ax': 585, 'Ay': -110, 'Az': 8713, 'timestamps': 1542884653.5662801}
{'yaw': -1.045599, 'pitch': 7.44478, 'roll': -6.108605, 'Ax': 717, 'Ay': -442, 'Az': 8679, 'timestamps': 1542884653.566348}
{'yaw': -1.300173, 'pitch': 6.275254, 'roll': -4.872247, 'Ax': 910, 'Ay': -758, 'Az': 8408, 'timestamps': 1542884653.5723014}
{'yaw': -1.476107, 'pitch': 5.43745, 'roll': -3.672414, 'Ax': 1068, 'Ay': -953, 'Az': 7774, 'timestamps': 1542884653.5817585}
{'yaw': -1.545008, 'pitch': 5.006524, 'roll': -2.569874, 'Ax': 1099, 'Ay': -1076, 'Az': 7020, 'timestamps': 1542884653.5863922}
{'yaw': -1.526242, 'pitch': 4.994448, 'roll': -1.570607, 'Ax': 909, 'Ay': -1206, 'Az': 6376, 'timestamps': 1542884653.6340394}
{'yaw': -1.443352, 'pitch': 5.336493, 'roll': -0.714279, 'Ax': 622, 'Ay': -1286, 'Az': 5652, 'timestamps': 1542884653.6420913}
{'yaw': -1.352709, 'pitch': 5.843132, 'roll': 0.022479, 'Ax': 260, 'Ay': -1393, 'Az': 5108, 'timestamps': 1542884653.646846}
{'yaw': -1.298183, 'pitch': 6.221379, 'roll': 0.683381, 'Ax': 62, 'Ay': -1650, 'Az': 4874, 'timestamps': 1542884653.646943}
{'yaw': -1.337563, 'pitch': 6.215017, 'roll': 1.414115, 'Ax': 88, 'Ay': -1933, 'Az': 4642, 'timestamps': 1542884653.6470087}
{'yaw': -1.566488, 'pitch': 5.639207, 'roll': 2.252187, 'Ax': 155, 'Ay': -2122, 'Az': 4433, 'timestamps': 1542884653.659467}
{'yaw': -1.926137, 'pitch': 4.693788, 'roll': 3.180627, 'Ax': 333, 'Ay': -2388, 'Az': 4271, 'timestamps': 1542884653.6624906}
{'yaw': -2.304628, 'pitch': 3.742028, 'roll': 4.140722, 'Ax': 718, 'Ay': -2497, 'Az': 3776, 'timestamps': 1542884653.6679437}
{'yaw': -2.649125, 'pitch': 2.8734, 'roll': 5.11283, 'Ax': 1068, 'Ay': -2640, 'Az': 3348, 'timestamps': 1542884653.6801083}
{'yaw': -2.900098, 'pitch': 2.362805, 'roll': 6.098642, 'Ax': 1357, 'Ay': -2779, 'Az': 2905, 'timestamps': 1542884653.6876519}
{'yaw': -3.007129, 'pitch': 2.389165, 'roll': 6.993928, 'Ax': 1443, 'Ay': -2661, 'Az': 2087, 'timestamps': 1542884653.7009692}
{'yaw': -3.024232, 'pitch': 2.86534, 'roll': 7.721259, 'Ax': 1257, 'Ay': -2422, 'Az': 1234, 'timestamps': 1542884653.7075007}
{'yaw': -2.985257, 'pitch': 3.576128, 'roll': 8.307391, 'Ax': 987, 'Ay': -2269, 'Az': 621, 'timestamps': 1542884653.7171667}
{'yaw': -2.924601, 'pitch': 4.392235, 'roll': 8.784287, 'Ax': 860, 'Ay': -2104, 'Az': 109, 'timestamps': 1542884653.7273498}
{'yaw': -2.890218, 'pitch': 5.095075, 'roll': 9.116896, 'Ax': 703, 'Ay': -1968, 'Az': -367, 'timestamps': 1542884653.7371728}
{'yaw': -2.952888, 'pitch': 5.450829, 'roll': 9.386893, 'Ax': 616, 'Ay': -1877, 'Az': -743, 'timestamps': 1542884653.7468557}
{'yaw': -3.181422, 'pitch': 5.294817, 'roll': 9.708825, 'Ax': 612, 'Ay': -1830, 'Az': -910, 'timestamps': 1542884653.7603376}
{'yaw': -3.530848, 'pitch': 4.614321, 'roll': 10.16005, 'Ax': 765, 'Ay': -2010, 'Az': -766, 'timestamps': 1542884653.7676344}
{'yaw': -3.872867, 'pitch': 3.735015, 'roll': 10.79705, 'Ax': 1221, 'Ay': -2297, 'Az': -541, 'timestamps': 1542884653.7774167}
{'yaw': -4.100424, 'pitch': 2.903498, 'roll': 11.59072, 'Ax': 1762, 'Ay': -2378, 'Az': -658, 'timestamps': 1542884653.7881298}
{'yaw': -4.204745, 'pitch': 2.313505, 'roll': 12.41358, 'Ax': 2069, 'Ay': -2218, 'Az': -1139, 'timestamps': 1542884653.8078415}
{'yaw': -4.231947, 'pitch': 2.080344, 'roll': 13.18071, 'Ax': 2106, 'Ay': -1898, 'Az': -1793, 'timestamps': 1542884653.8122864}
{'yaw': -4.193367, 'pitch': 2.130815, 'roll': 13.82788, 'Ax': 1974, 'Ay': -1510, 'Az': -2447, 'timestamps': 1542884653.8189526}
